id,sid,trialid,start_ms,end_ms,duration_ms,start_x,start_y,end_x,end_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,avg_vel,peak_vel,ampl
1,1,1,583.345,1216.691,633.346,428,420,431,430,3,10,0.0047367473703157515,0.015789157901052505,0,0,0.016484364800457493,0,10.44030650891055
2,1,1,1283.3590000000002,1933.3720000000003,650.013,434,433,416,417,-18,-16,-0.027691753857230546,-0.024614892317538262,0,0,0.03705031923605311,0,24.08318915758459
3,1,1,1933.3720000000003,2533.384,600.0120000000001,417,420,427,419,10,-1,0.016666333339999864,-0.0016666333339999866,0,0,0.016749457712713894,0,10.04987562112089
