id,sid,trialid,start_ms,end_ms,duration_ms,fix_x,fix_y,orig_fix_x,orig_fix_y,disp_x,disp_y
1,1,1,66.668,400.00800000000004,333.3333333333333,361,441,361,441,0,0
2,1,1,416.67500000000007,566.6780000000001,150.0,412,419,412,419,0,0
3,1,1,2533.384,2583.385,50.0,419,418,419,418,0,0
4,1,1,3100.0620000000004,3166.7300000000005,66.66666666666667,361,442,361,442,0,0
5,1,1,3183.3970000000004,3233.398,50.0,360,446,360,446,0,0
6,1,1,3583.405,3650.0730000000003,66.66666666666667,358,454,358,454,0,0
7,1,1,3666.7400000000002,4000.0800000000004,333.3333333333333,359,455,359,455,0,0
8,1,1,4016.7470000000003,4183.417,166.66666666666666,359,456,359,456,0,0
