id,sid,trialid,start_ms,end_ms,duration_ms,start_x,start_y,end_x,end_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,avg_vel,peak_vel,ampl
1,1,3,1450.0290000000002,1633.3660000000002,183.33700000000002,434,241,438,230,4,-11,0.021817745463272552,-0.059998800023999516,0,0,0.06384254084401743,0,11.704699910719626
2,1,3,1633.3660000000002,1650.0330000000001,16.667,438,230,439,220,1,-10,0.059998800023999516,-0.5999880002399951,0,0,0.6029804776577001,0,10.04987562112089
3,1,3,2133.376,2233.378,100.00200000000001,475,237,469,247,-6,10,-0.059998800023999516,0.09999800003999919,0,0,0.11661670556279474,0,11.661903789690601
4,1,3,2233.378,2266.7120000000004,33.334,465,255,457,264,-8,9,-0.23999520009599806,0.2699946001079978,0,0,0.3612406125515178,0,12.041594578792296
5,1,3,2266.7120000000004,2283.3790000000004,16.667,457,264,448,271,-9,7,-0.5399892002159956,0.4199916001679966,0,0,0.6840915732280182,0,11.40175425099138
6,1,3,2283.3790000000004,2300.0460000000003,16.667,448,271,437,280,-11,9,-0.6599868002639947,0.5399892002159956,0,0,0.8527431693497266,0,14.212670403551895
7,1,3,2300.0460000000003,2316.713,16.667,437,280,426,286,-11,6,-0.6599868002639947,0.3599928001439971,0,0,0.7517828095123097,0,12.529964086141668
