id,sid,trialid,start_ms,end_ms,duration_ms,fix_x,fix_y,orig_fix_x,orig_fix_y,disp_x,disp_y
1,1,3,0.0,416.67500000000007,416.6666666666667,363,328,363,328,0,0
2,1,3,466.67600000000004,1366.6940000000002,900.0,363,330,363,330,0,0
3,1,3,1650.0330000000001,1850.0370000000003,200.0,494,174,494,174,0,0
4,1,3,1866.7040000000002,1933.3720000000003,66.66666666666667,491,183,491,183,0,0
5,1,3,1950.0390000000002,2016.707,66.66666666666667,492,207,492,207,0,0
6,1,3,2483.3830000000003,2966.726,483.3333333333333,372,320,372,320,0,0
